ID,HOSPITALID,HOSPITALNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE
1,1,Clockwise.MD Demo,3423 Piedmont Road NE #355,,Atlanta,GA,30305,800-729-1363
2,2,Telfair,1227 Museum Square Drive,,Sugarland,TX,77479,800-555-5555
3,3,DEACTIVATED Doctor's Urgent Care - Holiday,2404 U.S. Highway 19,,Holiday,FL,34691,Visits cannot be scheduled online right now.
4,4,DEACTIVATED Doctor's Urgent Care - Palm Harbor,34621 U.S. Highway 19,,Palm Harbor,FL,34684,Visits cannot be scheduled online right now.
5,5,ExpressCare at Riverwalk,360 Merrimack St.,,Lawrence,MA,01843,978-557-8800
6,6,Urgent Care – Clemmons,2311 Lewisville-Clemmons Road,,Clemmons,NC,27103,336-713-0400
7,7,AFC Urgent Care - Grand Rapids,1740 28th Street SE,,Grand Rapids,MI,49508,(616) 202-5159
8,8,Dan's Sandbox,470-219-8596,,,,,
9,9,DEMO - Access Medical / Nextcare,11601 S Western Ave,,Oklahoma City,OK,73170,678-477-6904
10,10,Town Center (DEMO),625 Big Shanty Road NW,,Kennesaw,GA,30144,404-943-1979
11,11,Satellite Blvd. (DEMO),2660 Satellite Blvd.,,Duluth,GA,30096,888-372-4180
12,12,Forsyth (DEMO),410 Peachtree Parkway,,Cumming,GA,30041,404-943-1979
13,13,Hudson Bridge (DEMO),1510 Hudson Bridge Road,,Stockbridge,GA,30281,856-291-8600
14,14,Millennium Lab Demo,1401 Council Bluff Drive,,Atlanta,GA,30345,404-271-8652
15,15,Urgent Care - Mocksville,1188 Yadkinville Rd,,Mocksville,NC,27028,336-713-0555
16,16,Perimeter Hospital,554 North Ave NW,Suite 112,Atlanta,GA,30318,800-555-5555
17,17,DEACTIVATED Atlanta Office - Century Center ,1875 Century Blvd N.E.,Suite 150,Atlanta,GA,30345,Visits cannot be scheduled online right now.
18,18,DEACTIVATED Queen Anne,610 1st Ave North,,Seattle,WA,98109,Visits cannot be scheduled online right now.
19,19,Clockwise Demo,3423 Piedmont Rd NE,,Atlanta,GA,30305,800-729-1363
20,20,CMG Johns Creek Office,6918 McGinnis Ferry Road,Suite 200,Suwanee,GA,30024,770-622-5758
21,21,DEACTIVATED Burien,15870 1st Ave S,,Burien,WA,98148,Visits cannot be scheduled online right now.
22,22,DEACTIVATED Crown Hill,9000 Holman Rd NW,Suite A1,Seattle,WA,98117,Visits cannot be scheduled online right now.
23,23,DEACTIVATED Everett Mall Way,607 SE Everett Mall Way,,Everett,WA,98208,Visits cannot be scheduled online right now.
24,24,DEACTIVATED Kirkland,13718 100th Ave NE,,Kirkland,WA,98034,Visits cannot be scheduled online right now.
25,25,DEACTIVATED Lynnwood,4725 196th Street SW,,Lynnwood,WA,98036,Visits cannot be scheduled online right now.
26,26,DEACTIVATED Bellevue,15600 NE 8th Street,Suite A-4,Bellevue,WA,98008,Visits cannot be scheduled online right now.
27,27,DEACTIVATED Dallas,6805 W. Northwest Highway,,Dallas,TX,75225,Visits cannot be scheduled online right now.
28,28,The Urgent Care - Westbank,148 Wall Blvd.,,Gretna,LA,70056,504-393-2273
29,29,DEACTIVATED Lake City,3050 NE 127th St,,Seattle,WA,98125,Visits cannot be scheduled online right now.
30,30,Redmond (Rose Hill),13131 NE 85th St,,Kirkland,WA,98033,425-702-8002
31,31,DEACTIVATED Bothell,23131 Bothell Everett Hwy,,Bothell,WA,98021,Visits cannot be scheduled online right now.
32,32,DEACTIVATED Shoreline,20120 Ballinger Way NE,,Shoreline,WA,98155,Visits cannot be scheduled online right now.
33,33,DEACTIVATED Capitol Hill,1512 Broadway,,Seattle,WA,98122,Visits cannot be scheduled online right now.
34,34,Medspring - South Congress,208 W Ben White Blvd,,Austin,TX,78704,512-861-8060
35,35,Buckhead North Urgent Care,3617 Roswell Rd NE Suite A,,Atlanta,GA,30305,404-996-0196
36,36,Sugar Land,15551 Southwest Freeway,,Sugar Land,TX,77478,281-325-1010
37,37,Cyfair,19708 Northwest Freeway Suite 500,,Houston,TX,77065,713-957-2020
38,38,Pearland,2803 Business Center Dr. Suite 118,,Pearland,TX,77584,281-990-3030
39,39,Stuart Urgent Care (DEACTIVATED),3405 NW Federal Hwy,,Jensen Beach,FL,34956,Visits cannot be scheduled online right now.
40,40,City of West Palm Beach (DEACTIVATED),464 Fern Street,,West Palm Beach,FL,33401,Visits cannot be scheduled online right now.
41,41,Professional Urgent Care,640 Tyrone Blvd. N,,St. Petersburg,FL,33710,727-528-7827
42,42,Doctors Care - Beaufort DEMO,1510 South Ribaut Road,,Port Royal,SC,29935,123-456-7890
43,43,DOCTORS CARE - SANDBOX,1818 Henderson Street,,Columbia,SC,29201,(803) 758-2589
44,44,Doctors Care - Charleston West DEMO,3424 Shelby Ray Court,,Charleston,SC,29414,Visits cannot be scheduled online right now.
45,45,DEACTIVATED Southeast Urgent Care,339 Walker Chapel Road,,Fultondale,AL,35068,Visits cannot be scheduled online right now.
46,46,Coeur d'Alene,700 Ironwood Drive Suite 120E,,Coeur d’Alene,ID,83814,208-667-9110
47,47,Hayden,566 W. Prairie Avenue,,Coeur d’Alene,ID,83815,208-772-9110
48,48,Post Falls,1300 E. Mullan Ave Suite 600,,Post Falls,ID,83854,208-777-9110
49,49,DEACTIVATED Poulsbo,20730 Bond Rd Ne Ste 205,,Poulsbo,WA,98370,Visits cannot be scheduled online right now.
50,50,Primary Care,324 Primary Lane,,Atlanta,GA,30341,Visits cannot be scheduled online right now.
51,51,DEACTIVATED Allen,"109 North Central Expwy, Suite 509",,Allen,TX,75013,Visits cannot be scheduled online right now.
52,52,DEACTIVATED Flower Mound,"2701 Cross Timbers Road, Suite 232",,Flower Mound,TX,75028,Visits cannot be scheduled online right now.
53,53,DEACTIVATED McKinney,"8080 Highway 121, Suite 110",,McKinney,TX,75070,Visits cannot be scheduled online right now.
54,54,DEACTIVATED Frisco,"3411 Preston Road, Suite 1",,Frisco,TX,75034,Visits cannot be scheduled online right now.
55,55,DEACTIVATED Plano,3305 Dallas Parkway Suite 345,,Plano,TX,75093,Visits cannot be scheduled online right now.
56,56,DEACTIVATED Denton Regional Urgent Care,"2520 West University Drive, Suite 1154",,Denton,TX,76201,Visits cannot be scheduled online right now.
57,57,,,,,,,
58,58,OrthoNOW - Doral,3650 NW 82nd Ave. Suite 201,,Doral,FL,33166,305-537-7272
59,59,Walk-In Clinic,4515 Marsha Sharp Fwy,,Lubbock,TX,79407,806-744-7223
60,60,Doctors Express Cherrydale (DEACTIVATED),3213 N. Pleasantburg Dr. Suite E2,,Greenville,SC,29609,Visits cannot be scheduled online right now.
61,61,DEACTIVATED Metairie,2215 Veterans Memorial Blvd,,Metairie,LA,70002,Visits cannot be scheduled online right now.
62,62,DEACTIVATED Uptown,4605 Magazine St,,New Orleans,LA,70115,Visits cannot be scheduled online right now.
63,63,DEACTIVATED Lakeview,111C Robert E. Lee,,New Orleans,LA,70124,Visits cannot be scheduled online right now.
64,64,DEACTIVATED Kenner,3417 Williams Blvd,,Kenner,LA,70065,Visits cannot be scheduled online right now.
65,65,DEACTIVATED Thibodaux,318 N. Canal Blvd,,Thibodaux,LA,70301,Visits cannot be scheduled online right now.
66,66,DEACTIVATED Luling,"12895 U.S. Hwy 90, Suite H",,Luling,LA,70070,Visits cannot be scheduled online right now.
67,67,DEACTIVATED River Ridge,9643 Jefferson Hwy,,River Ridge,LA,70123,Visits cannot be scheduled online right now.
68,68,DEACTIVATED Acadiana,4906 Ambassador Caffery Pkwy,"Building C, Suite 350",Lafayette,LA,70508,Visits cannot be scheduled online right now.
69,69,DEACTIVATED Mandeville,"2735 Highway 190, Suite D",,Mandeville,LA,70471,Visits cannot be scheduled online right now.
70,70,DEACTIVATED Houma,"5922 W Main St, Suite A",,Houma,LA,70360,Visits cannot be scheduled online right now.
71,71,Old Slidell - Bought by Rapid Urgent Care (DEACTIVATED),"2170 Gause Blvd West, Suite 101",,Slidell,LA,70460,Visits cannot be scheduled online right now.
72,72,DEACTIVATED Westbank,"1625 Barataria Blvd, Suite A",,Marrero,LA,70072,Visits cannot be scheduled online right now.
73,73,Hammond (DEACTIVATED),"2741 W Thomas Street, Suite A",,Hammond,LA,70401,Visits cannot be scheduled online right now.
74,74,DEACTIVATED Mid-City,"231 North Carrollton Ave, Suite B",,,,,Visits cannot be scheduled online right now.
75,75,Ashland,"1401 Siskiyou Blvd, Suite 1",,Ashland,OR,97520,541-734-9030
76,76,North Medford,"1600 Delta Waters Rd, Suite 107",,Medford,OR,97504,541-858-2515
77,77,South Medford,"235 E. Barnett Rd, Suite 106",,Medford,OR,97501,541-773-4029
78,78,Grants Pass,"162 N.E. Beacon Dr, Suite 103",,Grants Pass,OR,97526,541-479-1090
79,79,First Choice Urgent Care,3725 Mall Lane,,Texarkana,TX,75501,Visits cannot be scheduled online right now.
80,80,DEACTIVATED Arlington Urgent Care,3062 Kingsdale Center,,Upper Arlington,OH,43221,If you receive this message during business hours we may be seeing a high volume of patients.  Please come to the clinic to reserve your spot. 
81,81,Ben's Urgent Care,4590 W 121st Ave,,Broomfield,CO,80020,888-381-4858
